2020/12/03 12:03:22,671 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
 -2020/12/03 12:03:22,780 [DEBUG]  [org.springframework.ui.context.support.UiApplicationContextUtils] [restartedMain]- Unable to locate ThemeSource with name 'themeSource': using default [org.springframework.ui.context.support.ResourceBundleThemeSource@6151770]
 -2020/12/03 12:03:22,796 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'tomcatServletWebServerFactory'
 -2020/12/03 12:03:22,796 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.ServletWebServerFactoryConfiguration$EmbeddedTomcat'
 -2020/12/03 12:03:22,811 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'websocketServletWebServerCustomizer'
 -2020/12/03 12:03:22,811 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.websocket.servlet.WebSocketServletAutoConfiguration$TomcatWebSocketConfiguration'
 -2020/12/03 12:03:22,811 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'servletWebServerFactoryCustomizer'
 -2020/12/03 12:03:22,811 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.ServletWebServerFactoryAutoConfiguration'
 -2020/12/03 12:03:22,811 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
 -2020/12/03 12:03:22,827 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.context.properties.BoundConfigurationProperties'
 -2020/12/03 12:03:22,843 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'servletWebServerFactoryCustomizer' via factory method to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
 -2020/12/03 12:03:22,843 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'tomcatServletWebServerFactoryCustomizer'
 -2020/12/03 12:03:22,843 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'tomcatServletWebServerFactoryCustomizer' via factory method to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
 -2020/12/03 12:03:22,843 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'tomcatWebServerFactoryCustomizer'
 -2020/12/03 12:03:22,843 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.embedded.EmbeddedWebServerFactoryCustomizerAutoConfiguration$TomcatWebServerFactoryCustomizerConfiguration'
 -2020/12/03 12:03:22,843 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'tomcatWebServerFactoryCustomizer' via factory method to bean named 'environment'
 -2020/12/03 12:03:22,843 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'tomcatWebServerFactoryCustomizer' via factory method to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
 -2020/12/03 12:03:22,843 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'localeCharsetMappingsCustomizer'
 -2020/12/03 12:03:22,843 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.HttpEncodingAutoConfiguration'
 -2020/12/03 12:03:22,843 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.HttpEncodingAutoConfiguration' via constructor to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
 -2020/12/03 12:03:22,858 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'errorPageCustomizer'
 -2020/12/03 12:03:22,858 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration'
 -2020/12/03 12:03:22,858 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration' via constructor to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
 -2020/12/03 12:03:22,874 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'dispatcherServletRegistration'
 -2020/12/03 12:03:22,874 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.DispatcherServletAutoConfiguration$DispatcherServletRegistrationConfiguration'
 -2020/12/03 12:03:22,874 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'dispatcherServlet'
 -2020/12/03 12:03:22,874 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.DispatcherServletAutoConfiguration$DispatcherServletConfiguration'
 -2020/12/03 12:03:22,874 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
 -2020/12/03 12:03:22,874 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'dispatcherServlet' via factory method to bean named 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
 -2020/12/03 12:03:22,890 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'dispatcherServletRegistration' via factory method to bean named 'dispatcherServlet'
 -2020/12/03 12:03:22,890 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'dispatcherServletRegistration' via factory method to bean named 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
 -2020/12/03 12:03:22,890 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'multipartConfigElement'
 -2020/12/03 12:03:22,890 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.MultipartAutoConfiguration'
 -2020/12/03 12:03:22,890 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'spring.servlet.multipart-org.springframework.boot.autoconfigure.web.servlet.MultipartProperties'
 -2020/12/03 12:03:22,890 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.MultipartAutoConfiguration' via constructor to bean named 'spring.servlet.multipart-org.springframework.boot.autoconfigure.web.servlet.MultipartProperties'
 -2020/12/03 12:03:22,890 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'errorPageCustomizer' via factory method to bean named 'dispatcherServletRegistration'
 -2020/12/03 12:03:22,952 [DEBUG]  [org.springframework.boot.web.servlet.server.DocumentRoot] [restartedMain]- Code archive: C:\Users\admin\.gradle\caches\modules-2\files-2.1\org.springframework.boot\spring-boot\2.4.0\d8c0caa04526c8cc1dfcbb9c5badae3c99c49884\spring-boot-2.4.0.jar
 -2020/12/03 12:03:22,952 [DEBUG]  [org.springframework.boot.web.servlet.server.DocumentRoot] [restartedMain]- Code archive: C:\Users\admin\.gradle\caches\modules-2\files-2.1\org.springframework.boot\spring-boot\2.4.0\d8c0caa04526c8cc1dfcbb9c5badae3c99c49884\spring-boot-2.4.0.jar
 -2020/12/03 12:03:22,952 [DEBUG]  [org.springframework.boot.web.servlet.server.DocumentRoot] [restartedMain]- None of the document roots [src/main/webapp, public, static] point to a directory and will be ignored.
 -2020/12/03 12:03:23,046 [INFO ]  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] [restartedMain]- Tomcat initialized with port(s): 8090 (http)
 -2020/12/03 12:03:23,046 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [restartedMain]- Initializing ProtocolHandler ["http-nio-8090"]
 -2020/12/03 12:03:23,046 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [restartedMain]- Starting service [Tomcat]
 -2020/12/03 12:03:23,061 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [restartedMain]- Starting Servlet engine: [Apache Tomcat/9.0.39]
 -2020/12/03 12:03:23,061 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [restartedMain]- Loaded Apache Tomcat Native library [1.2.25] using APR version [1.7.0].
 -2020/12/03 12:03:23,061 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [restartedMain]- APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
 -2020/12/03 12:03:23,061 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [restartedMain]- APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
 -2020/12/03 12:03:23,061 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [restartedMain]- OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
 -2020/12/03 12:03:23,218 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [restartedMain]- Initializing Spring embedded WebApplicationContext
 -2020/12/03 12:03:23,218 [DEBUG]  [org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext] [restartedMain]- Published root WebApplicationContext as ServletContext attribute with name [org.springframework.web.context.WebApplicationContext.ROOT]
 -2020/12/03 12:03:23,218 [INFO ]  [org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext] [restartedMain]- Root WebApplicationContext: initialization completed in 1500 ms
 -2020/12/03 12:03:23,218 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'securityFilterChainRegistration'
 -2020/12/03 12:03:23,218 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.security.servlet.SecurityFilterAutoConfiguration'
 -2020/12/03 12:03:23,218 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'spring.security-org.springframework.boot.autoconfigure.security.SecurityProperties'
 -2020/12/03 12:03:23,218 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'securityFilterChainRegistration' via factory method to bean named 'spring.security-org.springframework.boot.autoconfigure.security.SecurityProperties'
 -2020/12/03 12:03:23,233 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'requestContextFilter'
 -2020/12/03 12:03:23,233 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'formContentFilter'
 -2020/12/03 12:03:23,233 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration'
 -2020/12/03 12:03:23,233 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'characterEncodingFilter'
 -2020/12/03 12:03:23,233 [DEBUG]  [org.springframework.boot.web.servlet.ServletContextInitializerBeans] [restartedMain]- Mapping filters: springSecurityFilterChain urls=[/*] order=-100, characterEncodingFilter urls=[/*] order=-2147483648, formContentFilter urls=[/*] order=-9900, requestContextFilter urls=[/*] order=-105
 -2020/12/03 12:03:23,233 [DEBUG]  [org.springframework.boot.web.servlet.ServletContextInitializerBeans] [restartedMain]- Mapping servlets: dispatcherServlet urls=[/]
 -2020/12/03 12:03:23,249 [DEBUG]  [org.springframework.web.filter.GenericFilterBean] [restartedMain]- Filter 'requestContextFilter' configured for use
 -2020/12/03 12:03:23,249 [DEBUG]  [org.springframework.web.filter.GenericFilterBean] [restartedMain]- Filter 'characterEncodingFilter' configured for use
 -2020/12/03 12:03:23,249 [DEBUG]  [org.springframework.web.filter.GenericFilterBean] [restartedMain]- Filter 'springSecurityFilterChain' configured for use
 -2020/12/03 12:03:23,249 [DEBUG]  [org.springframework.web.filter.GenericFilterBean] [restartedMain]- Filter 'formContentFilter' configured for use
 -2020/12/03 12:03:23,264 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'inMemoryDatabaseShutdownExecutor'
 -2020/12/03 12:03:23,264 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.devtools.autoconfigure.DevToolsDataSourceAutoConfiguration'
 -2020/12/03 12:03:23,264 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'dataSource'
 -2020/12/03 12:03:23,264 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Hikari'
 -2020/12/03 12:03:23,264 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties'
 -2020/12/03 12:03:23,280 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'dataSource' via factory method to bean named 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties'
 -2020/12/03 12:03:23,296 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceInitializerInvoker'
 -2020/12/03 12:03:23,296 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.jdbc.DataSourceInitializerInvoker' via constructor to bean named 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties'
 -2020/12/03 12:03:23,296 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.jdbc.DataSourceInitializerInvoker' via constructor to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6c1cd737'
 -2020/12/03 12:03:23,296 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'inMemoryDatabaseShutdownExecutor' via factory method to bean named 'dataSource'
 -2020/12/03 12:03:23,296 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'inMemoryDatabaseShutdownExecutor' via factory method to bean named 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties'
 -2020/12/03 12:03:23,296 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'entityManagerFactory'
 -2020/12/03 12:03:23,296 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration'
 -2020/12/03 12:03:23,296 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'spring.jpa-org.springframework.boot.autoconfigure.orm.jpa.JpaProperties'
 -2020/12/03 12:03:23,311 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'spring.jpa.hibernate-org.springframework.boot.autoconfigure.orm.jpa.HibernateProperties'
 -2020/12/03 12:03:23,311 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'dataSource'
 -2020/12/03 12:03:23,311 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'spring.jpa-org.springframework.boot.autoconfigure.orm.jpa.JpaProperties'
 -2020/12/03 12:03:23,311 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@3439b349'
 -2020/12/03 12:03:23,311 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'spring.jpa.hibernate-org.springframework.boot.autoconfigure.orm.jpa.HibernateProperties'
 -2020/12/03 12:03:23,311 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'hikariPoolDataSourceMetadataProvider'
 -2020/12/03 12:03:23,311 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.metadata.DataSourcePoolMetadataProvidersConfiguration$HikariPoolDataSourceMetadataProviderConfiguration'
 -2020/12/03 12:03:23,311 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'entityManagerFactoryBuilder'
 -2020/12/03 12:03:23,311 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'jpaVendorAdapter'
 -2020/12/03 12:03:23,327 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'entityManagerFactoryBuilder' via factory method to bean named 'jpaVendorAdapter'
 -2020/12/03 12:03:23,327 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'entityManagerFactoryBootstrapExecutorCustomizer'
 -2020/12/03 12:03:23,327 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.data.jpa.JpaRepositoriesAutoConfiguration'
 -2020/12/03 12:03:23,327 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'applicationTaskExecutor'
 -2020/12/03 12:03:23,327 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.task.TaskExecutionAutoConfiguration'
 -2020/12/03 12:03:23,327 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'taskExecutorBuilder'
 -2020/12/03 12:03:23,327 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'spring.task.execution-org.springframework.boot.autoconfigure.task.TaskExecutionProperties'
 -2020/12/03 12:03:23,327 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'taskExecutorBuilder' via factory method to bean named 'spring.task.execution-org.springframework.boot.autoconfigure.task.TaskExecutionProperties'
 -2020/12/03 12:03:23,327 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'applicationTaskExecutor' via factory method to bean named 'taskExecutorBuilder'
 -2020/12/03 12:03:23,327 [INFO ]  [org.springframework.scheduling.concurrent.ExecutorConfigurationSupport] [restartedMain]- Initializing ExecutorService 'applicationTaskExecutor'
 -2020/12/03 12:03:23,327 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'entityManagerFactoryBootstrapExecutorCustomizer' via factory method to bean named 'applicationTaskExecutor'
 -2020/12/03 12:03:23,327 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'entityManagerFactory' via factory method to bean named 'entityManagerFactoryBuilder'
 -2020/12/03 12:03:23,389 [DEBUG]  [org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean] [task-1]- Building JPA container EntityManagerFactory for persistence unit 'default'
 -2020/12/03 12:03:23,405 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'dudeprojectApplication'
 -2020/12/03 12:03:23,405 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'guestController'
 -2020/12/03 12:03:23,405 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'scanController'
 -2020/12/03 12:03:23,405 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'serviceController'
 -2020/12/03 12:03:23,405 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'testController'
 -2020/12/03 12:03:23,405 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'userDaoService'
 -2020/12/03 12:03:23,405 [DEBUG]  [org.springframework.data.repository.config.RepositoryConfigurationDelegate$LazyRepositoryInjectionPointResolver] [restartedMain]- Creating lazy injection proxy for com.dude.dudeproject.Repository.userRepository…
 -2020/12/03 12:03:23,405 [INFO ]  [org.hibernate.jpa.internal.util.LogHelper] [task-1]- HHH000204: Processing PersistenceUnitInfo [name: default]
 -2020/12/03 12:03:23,421 [DEBUG]  [org.springframework.data.repository.config.RepositoryConfigurationDelegate$LazyRepositoryInjectionPointResolver] [restartedMain]- Creating lazy injection proxy for com.dude.dudeproject.Repository.userRepository…
 -2020/12/03 12:03:23,421 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'testController' via constructor to bean named 'userDaoService'
